case_number,date,year,month,day_of_week,hour,community_area_name,victimization_primary,incident_primary,gunshot_injury_i,age,sex,race,is_homicide_victim,is_nonfatal_shooting_victim,is_gun_violence_victim
HN166622,2007-02-08 13:20:00,2007,2,5,13,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HN239664,2007-03-21 21:23:00,2007,3,4,21,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HN239664,2007-03-21 21:23:00,2007,3,4,21,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN245825,2007-03-25 02:12:00,2007,3,1,2,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HN311410,2007-04-29 01:20:00,2007,4,1,1,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN391155,2007-06-07 20:04:00,2007,6,5,20,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN467125,2007-07-15 02:36:00,2007,7,1,2,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HN477205,2007-07-20 05:25:00,2007,7,6,5,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN535589,2007-08-17 23:00:00,2007,8,6,23,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HN652983,2007-10-17 09:53:00,2007,10,4,9,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN696765,2007-11-08 21:31:00,2007,11,5,21,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN737868,2007-12-02 03:00:00,2007,12,1,3,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN757459,2007-12-13 16:58:00,2007,12,5,16,WEST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN446344,2007-07-04 22:00:00,2007,7,4,22,WEST LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HN159314,2007-02-04 01:35:00,2007,2,1,1,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN194954,2007-02-25 06:29:00,2007,2,1,6,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HN197480,2007-02-26 19:52:00,2007,2,2,19,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN198327,2007-02-27 22:00:00,2007,2,3,22,WEST PULLMAN,HOMICIDE,HOMICIDE,NO,20-29,F,BLK,1,0,1
HN203111,2007-03-02 03:20:00,2007,3,6,3,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN224568,2007-03-13 20:21:00,2007,3,3,20,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN309691,2007-04-28 04:55:00,2007,4,7,4,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HN365543,2007-05-26 00:31:00,2007,5,7,0,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HN401698,2007-06-12 23:26:00,2007,6,3,23,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN443805,2007-07-03 15:34:00,2007,7,3,15,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,30-39,F,BLK,1,0,1
HN509950,2007-08-05 06:30:00,2007,8,1,6,WEST PULLMAN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HN549037,2007-08-25 04:25:00,2007,8,7,4,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HN562334,2007-08-31 21:12:00,2007,8,6,21,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN579833,2007-09-09 22:32:00,2007,9,1,22,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN587574,2007-09-13 21:24:00,2007,9,5,21,WEST PULLMAN,HOMICIDE,HOMICIDE,YES,50-59,M,BLK,1,0,1
HN685599,2007-11-02 18:55:00,2007,11,6,18,WEST PULLMAN,HOMICIDE,HOMICIDE,NO,40-49,M,BLK,1,0,1
HN181190,2007-02-17 07:29:00,2007,2,7,7,WEST RIDGE,HOMICIDE,HOMICIDE,NO,60-69,F,WHI,1,0,1
HN181190,2007-02-17 07:29:00,2007,2,7,7,WEST RIDGE,HOMICIDE,HOMICIDE,NO,40-49,F,WHI,1,0,1
HN181190,2007-02-17 07:29:00,2007,2,7,7,WEST RIDGE,HOMICIDE,HOMICIDE,NO,40-49,M,WHI,1,0,1
HN317249,2007-05-02 01:01:00,2007,5,4,1,WEST RIDGE,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN452785,2007-07-08 01:10:00,2007,7,1,1,WEST RIDGE,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN585818,2007-09-12 22:19:00,2007,9,4,22,WEST RIDGE,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HN662474,2007-10-22 03:11:00,2007,10,2,3,WEST RIDGE,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HN743179,2007-12-05 10:00:00,2007,12,4,10,WEST RIDGE,HOMICIDE,HOMICIDE,NO,40-49,F,BLK,1,0,1
HN135439,2007-01-21 01:49:00,2007,1,1,1,WEST TOWN,HOMICIDE,HOMICIDE,NO,0-19,F,WHI,1,0,1
HN452775,2007-07-08 01:05:00,2007,7,1,1,WEST TOWN,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HN485036,2007-07-23 21:25:00,2007,7,2,21,WEST TOWN,HOMICIDE,HOMICIDE,NO,30-39,M,WWH,1,0,1
HN489031,2007-07-25 21:17:00,2007,7,4,21,WEST TOWN,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HN548102,2007-08-14 13:30:00,2007,8,3,13,WEST TOWN,HOMICIDE,HOMICIDE,NO,40-49,M,WWH,1,0,1
HN560737,2007-08-31 03:11:00,2007,8,6,3,WEST TOWN,HOMICIDE,HOMICIDE,YES,20-29,M,WHI,1,0,1
HN593578,2007-09-17 07:07:00,2007,9,2,7,WEST TOWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN752096,2007-12-08 15:30:00,2007,12,7,15,WEST TOWN,HOMICIDE,HOMICIDE,NO,70-79,M,WWH,1,0,1
HN291770,2007-04-14 02:00:00,2007,4,7,2,WOODLAWN,HOMICIDE,HOMICIDE,NO,70-79,M,BLK,1,0,1
HN418678,2007-06-21 00:14:00,2007,6,5,0,WOODLAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN446743,2007-07-05 02:00:00,2007,7,5,2,WOODLAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HN589480,2007-09-14 19:54:00,2007,9,6,19,WOODLAWN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HN619803,2007-09-30 01:10:00,2007,9,1,1,WOODLAWN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HN715332,2007-11-19 01:23:00,2007,11,2,1,WOODLAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP112256,2008-01-08 01:32:00,2008,1,3,1,ALBANY PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HP393833,2008-06-13 23:30:00,2008,6,6,23,ALBANY PARK,HOMICIDE,HOMICIDE,YES,40-49,M,WWH,1,0,1
HP480678,2008-07-28 23:18:00,2008,7,2,23,ALBANY PARK,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HP106822,2008-01-04 22:15:00,2008,1,6,22,ARCHER HEIGHTS,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HP583945,2008-09-21 01:04:00,2008,9,1,1,ARCHER HEIGHTS,HOMICIDE,HOMICIDE,NO,40-49,M,WHI,1,0,1
HP201887,2008-03-01 00:45:00,2008,3,7,0,ASHBURN,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HP389528,2008-06-11 19:59:00,2008,6,4,19,ASHBURN,HOMICIDE,HOMICIDE,YES,50-59,M,BLK,1,0,1
HP166985,2008-02-09 08:20:00,2008,2,7,8,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,40-49,F,BLK,1,0,1
HP166985,2008-02-09 08:20:00,2008,2,7,8,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,50-59,M,BLK,1,0,1
HP183992,2008-02-19 18:18:00,2008,2,3,18,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP195743,2008-02-26 14:47:00,2008,2,3,14,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP215285,2008-03-09 01:15:00,2008,3,1,1,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP306388,2008-04-28 21:27:00,2008,4,2,21,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP336810,2008-05-15 12:42:00,2008,5,5,12,AUBURN GRESHAM,HOMICIDE,HOMICIDE,NO,0-19,M,BLK,1,0,1
HP353313,2008-05-24 01:07:00,2008,5,7,1,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP453221,2008-07-14 23:17:00,2008,7,2,23,AUBURN GRESHAM,HOMICIDE,HOMICIDE,NO,0-19,F,BLK,1,0,1
HP464777,2008-07-20 23:19:00,2008,7,1,23,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,40-49,F,BLK,1,0,1
HP475165,2008-07-26 02:20:00,2008,7,7,2,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP506019,2008-08-10 22:15:00,2008,8,1,22,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP508252,2008-08-12 03:10:00,2008,8,3,3,AUBURN GRESHAM,HOMICIDE,HOMICIDE,NO,40-49,M,BLK,1,0,1
HP512018,2008-08-14 00:55:00,2008,8,5,0,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP554732,2008-09-05 14:48:00,2008,9,6,14,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP575783,2008-09-16 21:01:00,2008,9,3,21,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP586311,2008-09-22 12:58:00,2008,9,2,12,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,30-39,F,BLK,1,0,1
HP597025,2008-09-27 21:40:00,2008,9,7,21,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP697087,2008-11-22 18:20:00,2008,11,7,18,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP101750,2008-01-02 00:18:00,2008,1,4,0,AUSTIN,HOMICIDE,HOMICIDE,NO,40-49,M,BLK,1,0,1
HP108587,2008-01-05 22:45:00,2008,1,7,22,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP112285,2008-01-06 19:00:00,2008,1,1,19,AUSTIN,HOMICIDE,HOMICIDE,NO,40-49,M,BLK,1,0,1
HP144915,2008-01-26 21:02:00,2008,1,7,21,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HP204846,2008-03-02 21:13:00,2008,3,1,21,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,F,BLK,1,0,1
HP227822,2008-03-16 02:05:00,2008,3,1,2,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP234336,2008-03-20 00:15:00,2008,3,5,0,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP235898,2008-03-20 22:14:00,2008,3,5,22,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP247802,2008-03-28 03:31:00,2008,3,6,3,AUSTIN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HP285499,2008-04-17 23:10:00,2008,4,5,23,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP339170,2008-05-16 15:40:00,2008,5,6,15,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP390063,2008-06-12 02:02:00,2008,6,5,2,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP393793,2008-06-13 23:07:00,2008,6,6,23,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP422556,2008-06-29 02:55:00,2008,6,1,2,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP441683,2008-07-09 10:30:00,2008,7,4,10,AUSTIN,HOMICIDE,HOMICIDE,NO,40-49,M,WHI,1,0,1
HP464423,2008-07-20 19:07:00,2008,7,1,19,AUSTIN,HOMICIDE,HOMICIDE,YES,50-59,M,BLK,1,0,1
HP469845,2008-07-23 14:02:00,2008,7,4,14,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP470839,2008-07-23 22:44:00,2008,7,4,22,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP470955,2008-07-24 00:08:00,2008,7,5,0,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP471000,2008-07-24 00:50:00,2008,7,5,0,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP482582,2008-07-30 06:41:00,2008,7,4,6,AUSTIN,HOMICIDE,HOMICIDE,NO,60-69,M,WHI,1,0,1
HP490209,2008-08-02 16:27:00,2008,8,7,16,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP490209,2008-08-02 16:27:00,2008,8,7,16,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP525436,2008-08-20 23:12:00,2008,8,4,23,AUSTIN,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HP525528,2008-08-21 00:20:00,2008,8,5,0,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP533134,2008-08-24 23:27:00,2008,8,1,23,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,F,BLK,1,0,1
HP545050,2008-08-30 23:00:00,2008,8,7,23,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP552200,2008-09-04 03:25:00,2008,9,5,3,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP559211,2008-09-08 01:05:00,2008,9,2,1,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP564090,2008-09-10 16:50:00,2008,9,4,16,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP570507,2008-09-13 23:25:00,2008,9,7,23,AUSTIN,HOMICIDE,HOMICIDE,YES,60-69,M,BLK,1,0,1
HP587530,2008-09-22 23:24:00,2008,9,2,23,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP608068,2008-10-04 03:43:00,2008,10,7,3,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP616595,2008-10-08 23:40:00,2008,10,4,23,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP618616,2008-10-10 02:33:00,2008,10,6,2,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP631705,2008-10-16 21:35:00,2008,10,5,21,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP674198,2008-11-09 11:43:00,2008,11,1,11,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HP715367,2008-12-03 21:10:00,2008,12,4,21,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP724516,2008-12-09 14:22:00,2008,12,3,14,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP756259,2008-12-29 16:03:00,2008,12,2,16,AUSTIN,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HP111916,2008-01-07 20:31:00,2008,1,2,20,AVALON PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP560395,2008-09-08 16:30:00,2008,9,2,16,AVALON PARK,HOMICIDE,HOMICIDE,YES,50-59,M,BLK,1,0,1
HP704333,2008-11-26 23:13:00,2008,11,4,23,AVALON PARK,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HP111752,2008-01-07 19:05:00,2008,1,2,19,AVONDALE,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HP649414,2008-10-26 18:57:00,2008,10,1,18,AVONDALE,HOMICIDE,HOMICIDE,YES,40-49,M,WWH,1,0,1
HP659177,2008-11-01 01:55:00,2008,11,7,1,AVONDALE,HOMICIDE,HOMICIDE,NO,20-29,M,WWH,1,0,1
HP695486,2008-11-21 19:30:00,2008,11,6,19,AVONDALE,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HP260044,2008-04-03 21:25:00,2008,4,5,21,BELMONT CRAGIN,HOMICIDE,HOMICIDE,YES,30-39,M,WWH,1,0,1
HP422548,2008-06-29 02:06:00,2008,6,1,2,BELMONT CRAGIN,HOMICIDE,HOMICIDE,NO,20-29,M,WWH,1,0,1
HP461315,2008-07-19 02:15:00,2008,7,7,2,BELMONT CRAGIN,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HP575926,2008-09-16 22:21:00,2008,9,3,22,BELMONT CRAGIN,HOMICIDE,HOMICIDE,YES,0-19,M,WBH,1,0,1
HP705610,2008-11-27 22:30:00,2008,11,5,22,BELMONT CRAGIN,HOMICIDE,HOMICIDE,NO,20-29,M,WWH,1,0,1
HP445128,2008-07-10 22:08:00,2008,7,5,22,BEVERLY,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP116844,2008-01-10 14:30:00,2008,1,5,14,BRIDGEPORT,HOMICIDE,HOMICIDE,NO,0-19,M,WWH,1,0,1
HP752435,2008-12-27 09:33:00,2008,12,7,9,BRIDGEPORT,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HP200249,2008-02-29 08:29:00,2008,2,6,8,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HP204278,2008-03-02 13:58:00,2008,3,1,13,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,30-39,M,WWH,1,0,1
HP363278,2008-05-29 15:24:00,2008,5,5,15,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HP572693,2008-09-15 11:00:00,2008,9,2,11,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,0-19,F,WWH,1,0,1
HP572693,2008-09-15 11:00:00,2008,9,2,11,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HP577439,2008-09-17 19:14:00,2008,9,4,19,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HP364300,2008-05-30 01:49:00,2008,5,6,1,BURNSIDE,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP562621,2008-09-09 21:38:00,2008,9,3,21,BURNSIDE,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP199511,2008-02-28 17:45:00,2008,2,5,17,CALUMET HEIGHTS,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP354969,2008-05-24 23:21:00,2008,5,7,23,CALUMET HEIGHTS,HOMICIDE,HOMICIDE,YES,20-29,F,BLK,1,0,1
HP368241,2008-06-01 00:12:00,2008,6,1,0,CALUMET HEIGHTS,HOMICIDE,HOMICIDE,YES,30-39,F,BLK,1,0,1
HP189515,2008-02-22 21:23:00,2008,2,6,21,CHATHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP250599,2008-03-29 16:02:00,2008,3,7,16,CHATHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP337114,2008-05-15 15:00:00,2008,5,5,15,CHATHAM,HOMICIDE,HOMICIDE,YES,50-59,M,BLK,1,0,1
HP396102,2008-06-15 04:35:00,2008,6,1,4,CHATHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP398594,2008-06-16 14:40:00,2008,6,2,14,CHATHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP499069,2008-08-07 09:45:00,2008,8,5,9,CHATHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP535134,2008-08-25 22:36:00,2008,8,2,22,CHATHAM,HOMICIDE,HOMICIDE,YES,50-59,M,BLK,1,0,1
HP589244,2008-09-23 20:25:00,2008,9,3,20,CHATHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP624032,2008-10-12 22:55:00,2008,10,1,22,CHATHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP758817,2008-12-31 02:24:00,2008,12,4,2,CHATHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP103500,2008-01-03 03:10:00,2008,1,5,3,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP307550,2008-04-29 12:00:00,2008,4,3,12,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,30-39,M,WHI,1,0,1
HP320409,2008-05-06 13:45:00,2008,5,3,13,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP327924,2008-05-10 12:12:00,2008,5,7,12,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP338077,2008-05-15 23:40:00,2008,5,5,23,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP394034,2008-06-14 01:42:00,2008,6,7,1,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HP404085,2008-06-19 17:23:00,2008,6,5,17,CHICAGO LAWN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HP435392,2008-07-06 00:12:00,2008,7,1,0,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP435541,2008-07-06 04:07:00,2008,7,1,4,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,WHI,1,0,1
HP511361,2008-08-13 17:50:00,2008,8,4,17,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HP547512,2008-09-01 18:01:00,2008,9,2,18,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP555394,2008-09-05 20:58:00,2008,9,6,20,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP616904,2008-10-09 08:35:00,2008,10,5,8,CHICAGO LAWN,HOMICIDE,HOMICIDE,NO,30-39,F,WHI,1,0,1
HP622164,2008-10-11 22:00:00,2008,10,7,22,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HP659063,2008-11-01 00:50:00,2008,11,7,0,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP715464,2008-12-03 22:15:00,2008,12,4,22,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HP759317,2008-12-31 12:05:00,2008,12,4,12,CHICAGO LAWN,HOMICIDE,HOMICIDE,NO,20-29,M,WWH,1,0,1
HP366315,2008-05-30 23:05:00,2008,5,6,23,CLEARING,HOMICIDE,HOMICIDE,NO,20-29,M,WWH,1,0,1
HP588309,2008-09-23 12:46:00,2008,9,3,12,CLEARING,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HP364469,2008-05-30 13:20:00,2008,5,6,13,DOUGLAS,HOMICIDE,HOMICIDE,NO,70-79,M,BLK,1,0,1
HP392058,2008-06-13 02:53:00,2008,6,6,2,DOUGLAS,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP542785,2008-08-30 00:12:00,2008,8,7,0,DOUGLAS,HOMICIDE,HOMICIDE,YES,0-19,F,BLK,1,0,1
HP729520,2008-12-12 06:57:00,2008,12,6,6,DOUGLAS,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP131642,2008-01-18 13:17:00,2008,1,6,13,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,NO,0-19,M,BLK,1,0,1
HP146369,2008-01-27 20:02:00,2008,1,1,20,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP263720,2008-04-05 20:45:00,2008,4,7,20,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HP395710,2008-06-14 23:22:00,2008,6,7,23,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP412557,2008-06-23 23:31:00,2008,6,2,23,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP436726,2008-07-06 22:57:00,2008,7,1,22,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,NO,80+,M,BLK,1,0,1
HP464719,2008-07-20 23:26:00,2008,7,1,23,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HP561348,2008-09-08 21:30:00,2008,9,2,21,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,NO,40-49,M,BLK,1,0,1
HP585545,2008-09-21 23:58:00,2008,9,1,23,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HP608026,2008-10-04 02:51:00,2008,10,7,2,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP626379,2008-10-14 09:37:00,2008,10,3,9,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP610973,2008-10-05 22:00:00,2008,10,1,22,EAST SIDE,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HP610973,2008-10-05 22:00:00,2008,10,1,22,EAST SIDE,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HP684923,2008-11-15 14:27:00,2008,11,7,14,EAST SIDE,HOMICIDE,HOMICIDE,YES,30-39,M,WWH,1,0,1
HP142270,2008-01-25 11:00:00,2008,1,6,11,EDGEWATER,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HP152544,2008-01-31 11:49:00,2008,1,5,11,EDGEWATER,HOMICIDE,HOMICIDE,NO,30-39,M,WHI,1,0,1
HP240581,2008-03-23 23:25:00,2008,3,1,23,EDGEWATER,HOMICIDE,HOMICIDE,NO,0-19,M,WHI,1,0,1
